t,r,y,u,e,e_pp,k_e,estado_id,idx_lut,Gc,Gct,mu1,lambda2,xI,xF,d_term,estado_nome
0.0,0.0,0.0,0.0,0.0,0.0,0.95,13,13,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,Indeterminado +
0.01,0.0,0.0,0.0,0.0,0.0,0.95,13,13,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,Indeterminado +
0.02,0.0,0.0,0.0,0.0,0.0,0.95,13,13,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,Indeterminado +
0.03,0.0,0.0,0.0,0.0,0.0,0.95,13,13,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,Indeterminado +
0.04,0.0,0.0,0.0,0.0,0.0,0.95,13,13,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,Indeterminado +
0.05,0.0,0.0,0.0,0.0,0.0,0.95,13,13,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,Indeterminado +
0.06,0.0,0.0,0.0,0.0,0.0,0.95,13,13,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,Indeterminado +
0.07,0.0,0.0,0.0,0.0,0.0,0.95,13,13,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,Indeterminado +
0.08,0.0,0.0,0.0,0.0,0.0,0.95,13,13,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,Indeterminado +
0.09,0.0,0.0,0.0,0.0,0.0,0.95,13,13,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,Indeterminado +
0.1,0.0,0.0,0.0,0.0,0.0,0.95,13,13,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,Indeterminado +
0.11,0.0,0.0,0.0,0.0,0.0,0.95,13,13,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,Indeterminado +
0.12,0.0,0.0,0.0,0.0,0.0,0.95,13,13,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,Indeterminado +
0.13,0.0,0.0,0.0,0.0,0.0,0.95,13,13,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,Indeterminado +
0.14,0.0,0.0,0.0,0.0,0.0,0.95,13,13,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,Indeterminado +
0.15,0.0,0.0,0.0,0.0,0.0,0.95,13,13,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,Indeterminado +
0.16,0.0,0.0,0.0,0.0,0.0,0.95,13,13,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,Indeterminado +
0.17,0.0,0.0,0.0,0.0,0.0,0.95,13,13,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,Indeterminado +
0.18,0.0,0.0,0.0,0.0,0.0,0.95,13,13,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,Indeterminado +
